epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,6626.43,1.07979,1.12961,1.46505,0.0208,0.83398,0.78359,0.83305,0.63338,1.00316,0.96853,1.47981,0.0217,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,6713.66,1.082,1.12659,1.4606,0.02052,0.83819,0.77642,0.83179,0.62698,1.02272,0.9883,1.51076,0.02166,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,6797.63,1.08144,1.14382,1.46112,0.02018,0.84257,0.77528,0.83579,0.63286,1.01023,0.96621,1.50278,0.02187,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,6883.96,1.0794,1.11894,1.45301,0.02163,0.82934,0.7952,0.83605,0.63655,1.0101,0.95756,1.50197,0.02211,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,6970.99,1.07897,1.13397,1.45853,0.02063,0.82659,0.78891,0.83471,0.6387,1.01238,0.97318,1.50287,0.02144,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,7057.27,1.06863,1.11768,1.44499,0.02035,0.84142,0.79285,0.84014,0.64155,0.99037,0.93303,1.48307,0.02244,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,7143.24,1.08055,1.12969,1.45692,0.02087,0.84488,0.7667,0.82928,0.63142,1.01302,0.98366,1.4991,0.02134,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,7230.02,1.0733,1.11602,1.44214,0.02134,0.8465,0.78303,0.84269,0.64141,1.00069,0.93992,1.48125,0.02158,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,7317.18,1.07322,1.11396,1.44681,0.02092,0.84964,0.78436,0.83946,0.64673,0.98721,0.93107,1.47898,0.02152,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,7403.65,1.05292,1.0994,1.43469,0.02013,0.83334,0.78994,0.83859,0.64396,0.97989,0.93396,1.46442,0.02171,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
